	B6donor	SC7286	SC7287	SC7288	SC7289	SC7290	SC7291	SC7292	SC7293	SC7294	SC7295	SC7296	SC7297	SC7298	SC7299	SC7476	SC7477	SC7478	SC7479	SC7480	SC7481	SC7482	SC7483	SC7484	SC7485	SC7486	SC7487	SC7488	SC7489	SC7490	SC7491	SC7492	SC7493	SC7494	SC7495	SC7496	SC7497	SC7498	SC7499	SC7576	SC7577	SC7578
SC7481	0.638435836136	0.641295169402	0.611859857954	0.671391293151	0.631908617359	0.628953550714	0.618311517608	0.663480130239	0.634737999701	0.606623562638	0.737193107253	0.694147954196	0.698500127389	0.689251202062	0.718781694577	0.694046390256	0.718035094536	0.720653733938	0.594356888255	0.584771362087	0.0	0.671453091486	0.695000383148	0.711401358649	0.716827685207	0.677059665297	0.714449565299	0.690083831811	0.689809018582	0.669742048123	0.608912712546	0.601347038242	0.601235417739	0.610226966228	0.658828051481	0.621401643358	0.641869446464	0.625236625729	0.701241268295	0.695589112215	0.728234932669	0.695968936076
SC7482	0.673875025545	0.670254050214	0.633946166822	0.638226668513	0.669419892855	0.662517954806	0.632438428392	0.62066310484	0.665500295721	0.62918990837	0.738909248811	0.695679573839	0.699365066161	0.678847456228	0.71239483978	0.703868262079	0.693253547606	0.723604529542	0.657645291322	0.656839663033	0.671453091486	0.0	0.595030593519	0.63375273321	0.633643452307	0.61123143899	0.658834780763	0.622241034109	0.626167701386	0.612501153019	0.647199438069	0.672555186732	0.644886220438	0.649988816065	0.649325284442	0.646568611264	0.633143020496	0.645138818185	0.692390626552	0.685055627236	0.712186438504	0.66796539074
SC7483	0.698894356183	0.681138590204	0.655763285639	0.630136400736	0.654725404915	0.649852652567	0.655232782224	0.623800143899	0.682378906131	0.660760975732	0.73054210339	0.710179033084	0.711462639221	0.703317528427	0.70599602848	0.694291128425	0.698747323659	0.709386550821	0.682613897092	0.689496184137	0.695000383148	0.595030593519	0.0	0.57116723765	0.553613984937	0.589989220392	0.598365242813	0.621965139645	0.625158197765	0.619977743343	0.658140310679	0.681614856565	0.668683652733	0.679391198413	0.680361989194	0.677359720526	0.680463047483	0.654448228795	0.701751499779	0.697447400773	0.719221024739	0.689216190755
SC7484	0.69360261561	0.672276728071	0.659179659521	0.63094662618	0.656801189744	0.65769089194	0.664217664781	0.639345706656	0.675106333448	0.678251812591	0.722157138412	0.690419679106	0.691354010481	0.687847844012	0.689430159303	0.670694661767	0.669104356496	0.698048652118	0.677311977854	0.700654370184	0.711401358649	0.63375273321	0.57116723765	0.0	0.549415671046	0.580434464701	0.593098660211	0.626125195933	0.625730721505	0.621033269661	0.651093280482	0.695831841966	0.687461254111	0.697900192374	0.686737223163	0.685636819233	0.69291485119	0.65350633941	0.688843743318	0.68614537446	0.700617143786	0.681166098567
SC7485	0.705717752059	0.683471387034	0.673461154039	0.647501741991	0.659544080847	0.665744382957	0.67089756186	0.645335429778	0.69400613859	0.677737182175	0.737485238037	0.702775476796	0.710344671967	0.693770585484	0.702585328212	0.700381734639	0.681868506661	0.718813854765	0.685731582782	0.719939966033	0.716827685207	0.633643452307	0.553613984937	0.549415671046	0.0	0.574645052271	0.592078070657	0.633594342619	0.621945353781	0.620807017194	0.656689263879	0.704234249007	0.686441582341	0.691426474554	0.68831379754	0.686256294318	0.68711478643	0.644300194824	0.701187446487	0.697139892883	0.711850456213	0.683008066746
SC7486	0.675192030843	0.653754821328	0.634357102035	0.643639529294	0.631252871111	0.631748772541	0.628595943797	0.643550735033	0.650243052621	0.635333275932	0.713507839628	0.676469017049	0.673772346432	0.659283900992	0.674144269798	0.659489114574	0.66323235241	0.691009385335	0.652138160265	0.674330618813	0.677059665297	0.61123143899	0.589989220392	0.580434464701	0.574645052271	0.0	0.570446269903	0.617298285001	0.596673679444	0.596119760484	0.622636918485	0.649845926724	0.652662210028	0.654481611858	0.664995162197	0.658895980161	0.661760380346	0.625507060204	0.668767767791	0.675199929519	0.689199538502	0.650242663859
SC7487	0.703826747071	0.675613990939	0.667422506903	0.65819544407	0.643746231124	0.644022117512	0.643027671945	0.669811016623	0.666895482713	0.663602087648	0.71132698509	0.688095670449	0.69220744088	0.689656104481	0.675224202983	0.672185771475	0.678384307025	0.698488357456	0.695705206939	0.707027893467	0.714449565299	0.658834780763	0.598365242813	0.593098660211	0.592078070657	0.570446269903	0.0	0.617632281692	0.620334525648	0.62747678085	0.647219639175	0.674953552533	0.683436059427	0.696992365734	0.703936114962	0.700110855019	0.71062385345	0.6675611658	0.69380096977	0.692789435396	0.706223533181	0.67697431795
SC7488	0.654655863356	0.638039304558	0.623003343562	0.59280565828	0.630032032468	0.608546266209	0.624204534392	0.61662691676	0.631424614194	0.624619690262	0.675951499809	0.658315638096	0.653228633435	0.641455929555	0.634614359367	0.630444782068	0.637053046497	0.65615099589	0.6492971222	0.667867076179	0.690083831811	0.622241034109	0.621965139645	0.626125195933	0.633594342619	0.617298285001	0.617632281692	0.0	0.590237509446	0.596548567032	0.646028503857	0.676027760379	0.678969965656	0.684695512482	0.671336037886	0.662675876462	0.682440956232	0.653231723906	0.638008188844	0.641125847186	0.656441078929	0.647350539953
SC7489	0.667610266437	0.642200082923	0.645043125239	0.620782781102	0.633047828718	0.622591062708	0.630032736365	0.622582177471	0.644519857147	0.644997036303	0.668780800912	0.633905483396	0.637185494476	0.627255974091	0.64676557326	0.635937022653	0.640937462651	0.657877751573	0.655946870115	0.685335857206	0.689809018582	0.626167701386	0.625158197765	0.625730721505	0.621945353781	0.596673679444	0.620334525648	0.590237509446	0.0	0.573482464223	0.643642477234	0.69206745296	0.689327286631	0.657242059272	0.636935267156	0.637975036099	0.646421110341	0.646769507578	0.637028925175	0.623037638116	0.643593513107	0.63218646268
SC7490	0.657826590207	0.647593181856	0.62418899251	0.617203930406	0.623867251765	0.613400322741	0.620164723368	0.608305555241	0.638881048571	0.62372981891	0.69730872787	0.65672778824	0.656861449274	0.64463231368	0.65707613715	0.643948552247	0.6419684835	0.67045416742	0.639656324063	0.674152491327	0.669742048123	0.612501153019	0.619977743343	0.621033269661	0.620807017194	0.596119760484	0.62747678085	0.596548567032	0.573482464223	0.0	0.628465230896	0.676380363321	0.66676000532	0.656760617621	0.634746014933	0.640193834174	0.641342348836	0.621986858112	0.657067041129	0.638368642718	0.672562234606	0.648517793418
