	B6donor	SC7286	SC7287	SC7288	SC7289	SC7290	SC7291	SC7292	SC7293	SC7294	SC7295	SC7296	SC7297	SC7298	SC7299	SC7476	SC7477	SC7478	SC7479	SC7480	SC7481	SC7482	SC7483	SC7484	SC7485	SC7486	SC7487	SC7488	SC7489	SC7490	SC7491	SC7492	SC7493	SC7494	SC7495	SC7496	SC7497	SC7498	SC7499	SC7576	SC7577	SC7578
SC7490	0.30043162215	0.223740303413	0.233816012389	0.18701224424	0.16750430725	0.192575051684	0.222400390783	0.159550797599	0.272921344191	0.27564209127	0.330525951034	0.299434201046	0.295825474163	0.265551409439	0.247388316696	0.241107269681	0.262835220004	0.300826985177	0.312175464514	0.399054357029	0.356800435257	0.201857366895	0.267740407851	0.322618435127	0.316849931564	0.212138026739	0.253512027374	0.126726781732	0.128338745902	0.0	0.231143013566	0.327567879694	0.387475353509	0.266923985632	0.175966904827	0.240294375095	0.210289764145	0.174993765632	0.260962720558	0.271160525638	0.314740223368	0.171874549815
SC7491	0.232549444084	0.151066832282	0.131752690898	0.165759000342	0.144406581149	0.165067052899	0.137734262432	0.15256223685	0.171177219011	0.185859604842	0.383674050465	0.363289688789	0.364332983367	0.327077076087	0.28831676546	0.247575014834	0.361656063215	0.280043510766	0.161504544736	0.25217658136	0.221402544226	0.240372906907	0.367198571777	0.392686264363	0.409493663015	0.328621343992	0.369224982832	0.288013985054	0.31198818568	0.231143013566	0.0	0.160920368017	0.196065152864	0.14250228089	0.195732819821	0.107057379419	0.12077145796	0.106036275165	0.335969326543	0.315516796659	0.402930427471	0.250421071684
SC7492	0.249799011559	0.244869873077	0.170292673237	0.241407439882	0.225283596116	0.217649681436	0.161105179501	0.243853138748	0.216910363735	0.14157382713	0.454185226916	0.462331288377	0.465040759304	0.429708551992	0.390214299753	0.337010429231	0.462240428501	0.350136172309	0.161047258696	0.136522220504	0.098745939991	0.322254010082	0.442363109172	0.507322466004	0.517268468049	0.434073272476	0.467091883539	0.376726025392	0.419133057046	0.327567879694	0.160920368017	0.0	0.139669672112	0.179488842578	0.299311970866	0.145445066469	0.222791810812	0.222629455302	0.434063827852	0.412797286957	0.50028401951	0.345115933181
SC7493	0.234278787036	0.258590747655	0.233716194603	0.288311166292	0.272255754193	0.276442636549	0.219767205239	0.294330568491	0.249799960607	0.208131397274	0.50490088652	0.515025841904	0.51640777862	0.478262997639	0.419522528216	0.371484949687	0.514305302357	0.374872049164	0.126983014816	0.146577849803	0.149595206053	0.35814425221	0.476006250176	0.544822472959	0.552838056389	0.472089904527	0.505139761216	0.435781436465	0.464649341097	0.387475353509	0.196065152864	0.139669672112	0.0	0.206919685301	0.331446671864	0.191426701476	0.248789104398	0.263421863995	0.486814952903	0.465976479258	0.552004436721	0.378352289057
SC7494	0.240938673788	0.177815437158	0.194420878892	0.187234155542	0.202920085283	0.191534888433	0.159129092493	0.163441075755	0.174777711312	0.207003232225	0.350620066495	0.353847762761	0.356466530667	0.317336711659	0.305819544518	0.258602370935	0.354490910528	0.299815460006	0.16956712149	0.235987395899	0.210882740455	0.270557698894	0.387272666501	0.432792588546	0.442568769436	0.368246263946	0.408806578031	0.322052047676	0.325536971509	0.266923985632	0.14250228089	0.179488842578	0.206919685301	0.0	0.188802502598	0.11128166913	0.122213550489	0.158857237194	0.329838490749	0.318558416416	0.39100826566	0.279092858871
SC7495	0.324528680205	0.188264106099	0.232553912477	0.210844399735	0.181474207368	0.232753207094	0.242874190504	0.170847887653	0.231958608358	0.302467440135	0.282602946558	0.268010829936	0.268176841324	0.240322288362	0.192563526127	0.191301408697	0.254585623149	0.28039389844	0.266603726384	0.368411530971	0.343639809304	0.272221346651	0.350784565779	0.378278152721	0.38992762713	0.314668250624	0.350094424024	0.232533454609	0.217402712608	0.175966904827	0.195732819821	0.299311970866	0.331446671864	0.188802502598	0.0	0.208467990435	0.136754771496	0.165120992134	0.224684374689	0.205411541712	0.291501119519	0.225151352176
SC7496	0.192266573776	0.178031413336	0.126201919667	0.161480229751	0.161817187566	0.140686169638	0.109097134628	0.160144185419	0.162021114177	0.155502525629	0.365680899107	0.375100757703	0.372629872372	0.33792842172	0.30502635498	0.257483833072	0.361314205463	0.271588408169	0.137514073578	0.200672136011	0.173225663338	0.256863351964	0.390788991302	0.434184069018	0.452495830413	0.370045398151	0.400280687343	0.292452607439	0.326848315606	0.240294375095	0.107057379419	0.145445066469	0.191426701476	0.11128166913	0.208467990435	0.0	0.128508795518	0.134904283599	0.335578261601	0.325302718716	0.412805840517	0.252801758463
SC7497	0.247805845312	0.156900168382	0.165783396113	0.155344211249	0.16421608807	0.162574509776	0.149041042933	0.132143671482	0.196545197844	0.213640719702	0.35670793775	0.342938254061	0.341524580461	0.306695073089	0.290809949598	0.245190324791	0.337241961233	0.295674445293	0.197261178982	0.285068669752	0.244777314596	0.236753053689	0.356638042163	0.406276309689	0.410447819866	0.333895838043	0.373283804239	0.266767747641	0.289271478486	0.210289764145	0.12077145796	0.222791810812	0.248789104398	0.122213550489	0.136754771496	0.128508795518	0.0	0.115990662022	0.308502248552	0.305605832284	0.375314072911	0.223315342379
SC7498	0.271103095592	0.158270873175	0.166782060894	0.183376191512	0.160667438125	0.189623016509	0.175723567662	0.137534765721	0.215228316828	0.231551932956	0.370535577008	0.343792216943	0.339696051877	0.311229837522	0.278108487023	0.256213143087	0.306597616395	0.315210244939	0.220881476849	0.301700060628	0.258209382184	0.209779798152	0.320274988704	0.333170798428	0.349745425554	0.277092572991	0.313805548453	0.234297918139	0.263001273977	0.174993765632	0.106036275165	0.222629455302	0.263421863995	0.158857237194	0.165120992134	0.134904283599	0.115990662022	0.0	0.293156083799	0.293538960104	0.362231840458	0.234039017954
SC7499	0.405202599985	0.29219046763	0.355455713432	0.299636923784	0.299760818107	0.326391165696	0.3655989114	0.278787208819	0.337378458292	0.41629508541	0.187867110834	0.151600271096	0.104336250783	0.123496278662	0.200692942515	0.234896489658	0.144231695308	0.295049993568	0.389263321614	0.490238801288	0.45228159325	0.376183833991	0.397094273834	0.395081136003	0.412008994297	0.32359880503	0.365076435562	0.290453039958	0.230498977512	0.260962720558	0.335969326543	0.434063827852	0.486814952903	0.329838490749	0.224684374689	0.335578261601	0.308502248552	0.293156083799	0.0	0.0703275789549	0.12861660272	0.277498732964
SC7576	0.403601047156	0.273359085928	0.338464247545	0.304198590919	0.291896530018	0.325643875029	0.361453617456	0.278629369912	0.315504283001	0.416268575044	0.1865243191	0.152627312849	0.122921068005	0.127769894798	0.184216653058	0.218143543866	0.174259567421	0.281735441846	0.371275312926	0.475993437993	0.448854191688	0.389792272452	0.410328341069	0.41176732901	0.427596930198	0.348455782466	0.38047570367	0.302581409175	0.241634192265	0.271160525638	0.315516796659	0.412797286957	0.465976479258	0.318558416416	0.205411541712	0.325302718716	0.305605832284	0.293538960104	0.0703275789549	0.0	0.158658097742	0.291375869877
SC7577	0.441431131723	0.347608895107	0.431547900542	0.369412963799	0.376360948308	0.39107303971	0.420725590054	0.352114289546	0.406468340616	0.459290656786	0.171695339751	0.163634885507	0.0851048946209	0.125091770726	0.216189327781	0.280308819894	0.146835351142	0.303773812314	0.455038544968	0.56682609354	0.51744901368	0.425268852996	0.450439113283	0.462474960055	0.467501761607	0.371493610184	0.417995746061	0.3371296879	0.269627256243	0.314740223368	0.402930427471	0.50028401951	0.552004436721	0.39100826566	0.291501119519	0.412805840517	0.375314072911	0.362231840458	0.12861660272	0.158658097742	0.0	0.321419411048
SC7578	0.299525983092	0.256228846853	0.257498702284	0.218290650215	0.213021931619	0.231061908286	0.246635876955	0.228581075849	0.284528449875	0.291818925088	0.329444256789	0.326084490415	0.306788090883	0.292394834096	0.254187654959	0.234760396067	0.304136210938	0.26463286671	0.314753459584	0.388656854098	0.367721781784	0.234653025374	0.350228438544	0.396401432989	0.408256085533	0.309678240694	0.33747342012	0.20261887182	0.219168905638	0.171874549815	0.250421071684	0.345115933181	0.378352289057	0.279092858871	0.225151352176	0.252801758463	0.223315342379	0.234039017954	0.277498732964	0.291375869877	0.321419411048	0.0
