Taxon	JaxB6.1	JaxB6.2	GMNOD.1	GMNOD.2	GMNOD.3	GMNOD.4	GMNOD.5	GMNOD.6	GMNOD.11	GMNOD.12	GMNOD.13	GMNOD.14	GmB6.10	GmB6.11	GmB6.12	GmB6.13	GmB6.14	GmB6.15	GmB6.16	GmB6.17	GmB6.18	GmB6.20	GmB6.21	GmB6.22	GmB6.23	GmB6.24	GmB6.25	GmB6.26
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae	1528.0	1246.0	110.0	840.0	420.0	517.0	823.0	997.0	146.0	34.0	112.0	88.0	554.0	277.0	681.0	553.0	514.0	223.0	980.0	1237.0	539.0	429.0	572.0	519.0	319.0	243.0	561.0	196.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Dehalobacteriaceae	10.0	9.0	15.0	14.0	9.0	7.0	10.0	14.0	10.0	3.0	17.0	9.0	42.0	37.0	58.0	26.0	23.0	59.0	155.0	178.0	52.0	38.0	53.0	44.0	34.0	30.0	25.0	21.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae	3851.0	4517.0	3795.0	3133.0	3637.0	1834.0	1145.0	3153.0	2265.0	3488.0	3916.0	5305.0	7258.0	2805.0	9298.0	5514.0	5973.0	5624.0	25989.0	36205.0	11652.0	7394.0	10342.0	6890.0	5467.0	3451.0	3368.0	2492.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae	2.0	2.0	0.0	1.0	0.0	2.0	1.0	3.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	3.0	5.0	1.0	0.0	0.0	2.0	1.0	0.0	0.0	2.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae	4728.0	6467.0	7028.0	7594.0	5284.0	4693.0	1426.0	5314.0	5993.0	2998.0	6676.0	4529.0	12210.0	6995.0	15034.0	9125.0	9418.0	13845.0	29518.0	71106.0	21449.0	11117.0	20228.0	12950.0	6620.0	5233.0	6621.0	4543.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Mogibacteriaceae]	25.0	31.0	37.0	28.0	37.0	17.0	4.0	45.0	28.0	3.0	39.0	17.0	69.0	36.0	70.0	35.0	52.0	77.0	180.0	290.0	115.0	51.0	92.0	28.0	31.0	23.0	22.0	21.0
k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae	250.0	122.0	110.0	598.0	112.0	1171.0	5240.0	771.0	24.0	14.0	40.0	60.0	4544.0	1446.0	10912.0	2562.0	7540.0	2124.0	11958.0	4900.0	6405.0	10948.0	10389.0	1349.0	2265.0	3000.0	2419.0	3311.0
k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	3.0	0.0	0.0	1.0	0.0	2.0	0.0	6.0	0.0
k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Gemmatales;f__Gemmataceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Pelagibacteraceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0
